Year,Race,Driver,Team,Position,GridPosition,Points,Status,BestQualifyingTime,GapToPole,QualifyingPerformance,PositionChange,driver_win_rate,team_reliability,race_winner,podium_finish,points_finish
2025,21,Y TSUNODA,Red Bull Racing,17.0,17.0,0.0,Finished,69.9365,0.4254999999999995,95.0,0.0,0.0,94.44444444444444,0,0,0
2025,21,L HAMILTON,Ferrari,18.0,13.0,0.0,Retired,69.9365,0.4254999999999995,65.0,-5.0,0.0,88.88888888888889,0,0,0
2025,21,C LECLERC,Ferrari,19.0,3.0,0.0,Retired,69.801,0.2900000000000062,15.0,-16.0,0.0,88.88888888888889,0,0,0
2025,21,G BORTOLETO,Kick Sauber,20.0,18.0,0.0,Retired,69.9365,0.4254999999999995,,-2.0,0.0,55.55555555555556,0,0,0
2025,22,M VERSTAPPEN,Red Bull Racing,1.0,2.0,25.0,Finished,108.257,0.3230000000000075,10.0,1.0,66.66666666666666,94.44444444444444,1,1,1
2025,22,G RUSSELL,Mercedes,2.0,4.0,18.0,Finished,108.803,0.8689999999999998,20.0,2.0,11.11111111111111,100.0,0,1,1
2025,22,K ANTONELLI,Mercedes,3.0,17.0,15.0,Finished,109.0115,1.0775000000000006,85.0,14.0,0.0,100.0,0,1,1
2025,22,C LECLERC,Ferrari,4.0,9.0,12.0,Finished,109.872,1.9380000000000024,45.0,5.0,0.0,88.88888888888889,0,0,1
2025,22,C SAINZ,Williams,5.0,3.0,10.0,Finished,108.296,0.362000000000009,15.0,-2.0,0.0,66.66666666666666,0,0,1
2025,22,I HADJAR,Racing Bulls,6.0,8.0,8.0,Finished,109.554,1.6200000000000043,40.0,2.0,0.0,55.55555555555556,0,0,1
2025,22,N HULKENBERG,Kick Sauber,7.0,11.0,6.0,Finished,109.0115,1.0775000000000006,55.00000000000001,4.0,0.0,55.55555555555556,0,0,1
2025,22,L HAMILTON,Ferrari,8.0,19.0,4.0,Finished,109.0115,1.0775000000000006,100.0,11.0,0.0,88.88888888888889,0,0,1
2025,22,E OCON,Haas F1 Team,9.0,13.0,2.0,Finished,109.0115,1.0775000000000006,65.0,4.0,0.0,77.77777777777779,0,0,1
2025,22,O BEARMAN,Haas F1 Team,10.0,14.0,1.0,Finished,109.0115,1.0775000000000006,70.0,4.0,0.0,77.77777777777779,0,0,1
2025,22,F ALONSO,Aston Martin,11.0,7.0,0.0,Finished,109.466,1.5319999999999965,35.0,-4.0,0.0,61.111111111111114,0,0,0
2025,22,Y TSUNODA,Red Bull Racing,12.0,20.0,0.0,Finished,109.0115,1.0775000000000006,95.0,8.0,0.0,94.44444444444444,0,0,0
2025,22,P GASLY,Alpine,13.0,10.0,0.0,Finished,111.54,3.6060000000000088,50.0,-3.0,0.0,16.666666666666664,0,0,0
2025,22,L LAWSON,Racing Bulls,14.0,6.0,0.0,Lapped,109.062,1.128,30.0,-8.0,0.0,55.55555555555556,0,0,0
2025,22,F COLAPINTO,Alpine,15.0,15.0,0.0,Lapped,109.0115,1.0775000000000006,75.0,0.0,0.0,16.666666666666664,0,0,0
2025,22,A ALBON,Williams,16.0,16.0,0.0,Retired,109.0115,1.0775000000000006,80.0,0.0,0.0,66.66666666666666,0,0,0
2025,22,G BORTOLETO,Kick Sauber,17.0,18.0,0.0,Retired,109.0115,1.0775000000000006,90.0,1.0,0.0,55.55555555555556,0,0,0
2025,22,L STROLL,Aston Martin,18.0,12.0,0.0,Retired,109.0115,1.0775000000000006,60.0,-6.0,0.0,61.111111111111114,0,0,0
2025,22,L NORRIS,McLaren,19.0,1.0,0.0,Disqualified,107.934,0.0,5.0,-18.0,22.22222222222222,83.33333333333334,0,0,0
2025,22,O PIASTRI,McLaren,20.0,5.0,0.0,Disqualified,108.961,1.027000000000001,25.0,-15.0,0.0,83.33333333333334,0,0,0
2025,23,M VERSTAPPEN,Red Bull Racing,1.0,3.0,25.0,Finished,79.651,0.2639999999999958,15.0,2.0,66.66666666666666,94.44444444444444,1,1,1
2025,23,O PIASTRI,McLaren,2.0,1.0,18.0,Finished,79.387,0.0,5.0,-1.0,0.0,83.33333333333334,0,1,1
2025,23,C SAINZ,Williams,3.0,7.0,15.0,Finished,80.251,0.8640000000000043,35.0,4.0,0.0,66.66666666666666,0,1,1
2025,23,L NORRIS,McLaren,4.0,2.0,12.0,Finished,79.495,0.108000000000004,10.0,-2.0,22.22222222222222,83.33333333333334,0,0,1
2025,23,K ANTONELLI,Mercedes,5.0,5.0,10.0,Finished,79.846,0.4590000000000032,25.0,0.0,0.0,100.0,0,0,1
2025,23,G RUSSELL,Mercedes,6.0,4.0,8.0,Finished,79.662,0.2750000000000057,20.0,-2.0,11.11111111111111,100.0,0,0,1
2025,23,F ALONSO,Aston Martin,7.0,8.0,6.0,Finished,80.219,0.8319999999999936,40.0,1.0,0.0,61.111111111111114,0,0,1
2025,23,C LECLERC,Ferrari,8.0,10.0,4.0,Finished,80.343,0.9560000000000032,50.0,2.0,0.0,88.88888888888889,0,0,1
2025,23,L LAWSON,Racing Bulls,9.0,12.0,2.0,Finished,79.98,0.5930000000000035,60.0,3.0,0.0,55.55555555555556,0,0,1
2025,23,Y TSUNODA,Red Bull Racing,10.0,15.0,1.0,Finished,79.98,0.5930000000000035,80.0,5.0,0.0,94.44444444444444,0,0,1
2025,23,A ALBON,Williams,11.0,14.0,0.0,Finished,79.98,0.5930000000000035,75.0,3.0,0.0,66.66666666666666,0,0,0
2025,23,L HAMILTON,Ferrari,12.0,17.0,0.0,Finished,79.98,0.5930000000000035,90.0,5.0,0.0,88.88888888888889,0,0,0
2025,23,G BORTOLETO,Kick Sauber,13.0,19.0,0.0,Finished,79.98,0.5930000000000035,70.0,6.0,0.0,55.55555555555556,0,0,0
2025,23,F COLAPINTO,Alpine,14.0,20.0,0.0,Lapped,79.98,0.5930000000000035,100.0,6.0,0.0,16.666666666666664,0,0,0
2025,23,E OCON,Haas F1 Team,15.0,16.0,0.0,Lapped,79.98,0.5930000000000035,85.0,1.0,0.0,77.77777777777779,0,0,0
2025,23,P GASLY,Alpine,16.0,9.0,0.0,Lapped,80.324,0.9369999999999976,45.0,-7.0,0.0,16.666666666666664,0,0,0
2025,23,L STROLL,Aston Martin,17.0,18.0,0.0,Retired,79.98,0.5930000000000035,95.0,1.0,0.0,61.111111111111114,0,0,0
2025,23,I HADJAR,Racing Bulls,18.0,6.0,0.0,Retired,80.114,0.7270000000000039,30.0,-12.0,0.0,55.55555555555556,0,0,0
2025,23,O BEARMAN,Haas F1 Team,19.0,13.0,0.0,Retired,79.98,0.5930000000000035,65.0,-6.0,0.0,77.77777777777779,0,0,0
2025,23,N HULKENBERG,Kick Sauber,20.0,11.0,0.0,Retired,79.98,0.5930000000000035,55.00000000000001,-9.0,0.0,55.55555555555556,0,0,0
2025,24,M VERSTAPPEN,Red Bull Racing,1.0,1.0,25.0,Finished,82.207,0.0,5.0,0.0,66.66666666666666,94.44444444444444,1,1,1
2025,24,O PIASTRI,McLaren,2.0,3.0,18.0,Finished,82.437,0.2300000000000039,15.0,1.0,0.0,83.33333333333334,0,1,1
2025,24,L NORRIS,McLaren,3.0,2.0,15.0,Finished,82.408,0.2010000000000076,10.0,-1.0,22.22222222222222,83.33333333333334,0,1,1
2025,24,C LECLERC,Ferrari,4.0,5.0,12.0,Finished,82.73,0.5230000000000103,25.0,1.0,0.0,88.88888888888889,0,0,1
2025,24,G RUSSELL,Mercedes,5.0,4.0,10.0,Finished,82.645,0.4380000000000024,20.0,-1.0,11.11111111111111,100.0,0,0,1
2025,24,F ALONSO,Aston Martin,6.0,6.0,8.0,Finished,82.861,0.6540000000000106,30.0,0.0,0.0,61.111111111111114,0,0,1
2025,24,E OCON,Haas F1 Team,7.0,8.0,6.0,Finished,82.913,0.7060000000000031,40.0,1.0,0.0,77.77777777777779,0,0,1
2025,24,L HAMILTON,Ferrari,8.0,16.0,4.0,Finished,82.73,0.5230000000000103,80.0,8.0,0.0,88.88888888888889,0,0,1
2025,24,N HULKENBERG,Kick Sauber,9.0,18.0,2.0,Finished,82.73,0.5230000000000103,90.0,9.0,0.0,55.55555555555556,0,0,1
2025,24,L STROLL,Aston Martin,10.0,15.0,1.0,Finished,82.73,0.5230000000000103,75.0,5.0,0.0,61.111111111111114,0,0,1
2025,24,G BORTOLETO,Kick Sauber,11.0,7.0,0.0,Finished,82.874,0.6670000000000016,35.0,-4.0,0.0,55.55555555555556,0,0,0
2025,24,O BEARMAN,Haas F1 Team,12.0,11.0,0.0,Finished,82.73,0.5230000000000103,55.00000000000001,-1.0,0.0,77.77777777777779,0,0,0
2025,24,C SAINZ,Williams,13.0,12.0,0.0,Finished,82.73,0.5230000000000103,60.0,-1.0,0.0,66.66666666666666,0,0,0
2025,24,Y TSUNODA,Red Bull Racing,14.0,10.0,0.0,Finished,82.73,0.5230000000000103,50.0,-4.0,0.0,94.44444444444444,0,0,0
2025,24,K ANTONELLI,Mercedes,15.0,14.0,0.0,Finished,82.73,0.5230000000000103,70.0,-1.0,0.0,100.0,0,0,0
2025,24,A ALBON,Williams,16.0,17.0,0.0,Finished,82.73,0.5230000000000103,85.0,1.0,0.0,66.66666666666666,0,0,0
2025,24,I HADJAR,Racing Bulls,17.0,9.0,0.0,Lapped,82.997,0.7900000000000063,45.0,-8.0,0.0,55.55555555555556,0,0,0
2025,24,L LAWSON,Racing Bulls,18.0,13.0,0.0,Lapped,82.73,0.5230000000000103,65.0,-5.0,0.0,55.55555555555556,0,0,0
2025,24,P GASLY,Alpine,19.0,19.0,0.0,Lapped,82.73,0.5230000000000103,95.0,0.0,0.0,16.666666666666664,0,0,0
2025,24,F COLAPINTO,Alpine,20.0,20.0,0.0,Lapped,82.73,0.5230000000000103,100.0,0.0,0.0,16.666666666666664,0,0,0
