Year,Race,Driver,Team,QualifyingPosition,Q1,Q2,Q3,Status
2025,23,A ALBON,Williams,15.0,80.629,80.629,,
2025,23,Y TSUNODA,Red Bull Racing,16.0,80.761,,,
2025,23,E OCON,Haas F1 Team,17.0,80.864,,,
2025,23,L HAMILTON,Ferrari,18.0,80.907,,,
2025,23,L STROLL,Aston Martin,19.0,81.058,,,
2025,23,F COLAPINTO,Alpine,20.0,81.137,,,
2025,24,M VERSTAPPEN,Red Bull Racing,1.0,82.877,82.752,82.207,
2025,24,L NORRIS,McLaren,2.0,83.178,82.804,82.408,
2025,24,O PIASTRI,McLaren,3.0,82.605,83.021,82.437,
2025,24,G RUSSELL,Mercedes,4.0,83.247,82.73,82.645,
2025,24,C LECLERC,Ferrari,5.0,83.163,82.948,82.73,
2025,24,F ALONSO,Aston Martin,6.0,83.071,82.861,82.902,
2025,24,G BORTOLETO,Kick Sauber,7.0,83.374,82.874,82.904,
2025,24,E OCON,Haas F1 Team,8.0,83.334,83.023,82.913,
2025,24,I HADJAR,Racing Bulls,9.0,83.373,82.997,83.072,
2025,24,Y TSUNODA,Red Bull Racing,10.0,83.386,83.034,,
2025,24,O BEARMAN,Haas F1 Team,11.0,83.254,83.041,,
2025,24,C SAINZ,Williams,12.0,83.187,83.042,,
2025,24,L LAWSON,Racing Bulls,13.0,83.265,83.077,,
2025,24,K ANTONELLI,Mercedes,14.0,82.894,83.08,,
2025,24,L STROLL,Aston Martin,15.0,83.316,83.097,,
2025,24,L HAMILTON,Ferrari,16.0,83.394,,,
2025,24,A ALBON,Williams,17.0,83.416,,,
2025,24,N HULKENBERG,Kick Sauber,18.0,83.45,,,
2025,24,P GASLY,Alpine,19.0,83.468,,,
2025,24,F COLAPINTO,Alpine,20.0,83.89,,,
