Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge,PositionGroup,driver_win_rate,start_position,positions_gained,tire_degradation,race_phase,team_reliability
2025,16,NOR,McLaren,30.0,82.639,2.0,MEDIUM,30.0,Top 5,0.0,2.0,0.0,-0.11800000000000921,Middle,83.33333333333334
2025,16,NOR,McLaren,31.0,83.189,2.0,MEDIUM,31.0,Top 5,0.0,2.0,0.0,0.5499999999999972,Middle,83.33333333333334
2025,16,NOR,McLaren,32.0,82.776,2.0,MEDIUM,32.0,Top 5,0.0,2.0,0.0,-0.4129999999999967,Middle,83.33333333333334
2025,16,NOR,McLaren,33.0,82.655,2.0,MEDIUM,33.0,Top 5,0.0,2.0,0.0,-0.12099999999999511,Middle,83.33333333333334
2025,16,NOR,McLaren,34.0,82.554,2.0,MEDIUM,34.0,Top 5,0.0,2.0,0.0,-0.10099999999999909,Middle,83.33333333333334
2025,16,NOR,McLaren,35.0,82.647,2.0,MEDIUM,35.0,Top 5,0.0,2.0,0.0,0.09300000000000352,Middle,83.33333333333334
2025,16,NOR,McLaren,36.0,82.638,2.0,MEDIUM,36.0,Top 5,0.0,2.0,0.0,-0.009000000000000341,Middle,83.33333333333334
2025,16,NOR,McLaren,37.0,82.48,2.0,MEDIUM,37.0,Top 5,0.0,2.0,0.0,-0.15800000000000125,Middle,83.33333333333334
2025,16,NOR,McLaren,38.0,82.809,1.0,MEDIUM,38.0,Top 5,0.0,2.0,1.0,0.3289999999999935,Middle,83.33333333333334
2025,16,NOR,McLaren,39.0,82.691,1.0,MEDIUM,39.0,Top 5,0.0,2.0,1.0,-0.117999999999995,Middle,83.33333333333334
2025,16,NOR,McLaren,40.0,82.621,1.0,MEDIUM,40.0,Top 5,0.0,2.0,1.0,-0.07000000000000739,Middle,83.33333333333334
2025,16,NOR,McLaren,41.0,83.449,1.0,MEDIUM,41.0,Top 5,0.0,2.0,1.0,0.828000000000003,Late,83.33333333333334
2025,16,NOR,McLaren,42.0,82.59,1.0,MEDIUM,42.0,Top 5,0.0,2.0,1.0,-0.8589999999999947,Late,83.33333333333334
2025,16,NOR,McLaren,43.0,82.904,1.0,MEDIUM,43.0,Top 5,0.0,2.0,1.0,0.31399999999999295,Late,83.33333333333334
2025,16,NOR,McLaren,44.0,82.388,1.0,MEDIUM,44.0,Top 5,0.0,2.0,1.0,-0.5159999999999911,Late,83.33333333333334
2025,16,NOR,McLaren,45.0,82.781,1.0,MEDIUM,45.0,Top 5,0.0,2.0,1.0,0.3930000000000007,Late,83.33333333333334
2025,16,NOR,McLaren,46.0,87.287,1.0,MEDIUM,46.0,Top 5,0.0,2.0,1.0,4.506,Late,83.33333333333334
2025,16,NOR,McLaren,47.0,104.986,3.0,SOFT,3.0,Top 5,0.0,2.0,-1.0,-0.018999999999991246,Late,83.33333333333334
2025,16,NOR,McLaren,48.0,81.038,3.0,SOFT,4.0,Top 5,0.0,2.0,-1.0,-23.948000000000008,Late,83.33333333333334
2025,16,NOR,McLaren,49.0,81.154,2.0,SOFT,5.0,Top 5,0.0,2.0,0.0,0.11599999999999966,Late,83.33333333333334
2025,16,NOR,McLaren,50.0,81.123,2.0,SOFT,6.0,Top 5,0.0,2.0,0.0,-0.0309999999999917,Late,83.33333333333334
2025,16,NOR,McLaren,51.0,81.315,2.0,SOFT,7.0,Top 5,0.0,2.0,0.0,0.19199999999999307,Late,83.33333333333334
