Year,Race,Driver,Team,QualifyingPosition,Q1,Q2,Q3,Status,BestQualifyingTime,GapToPole,QualifyingPerformance
2025,21,F ALONSO,Aston Martin,11.0,70.181,70.001,69.9365,,69.9365,0.42549999999999955,55.00000000000001
2025,21,A ALBON,Williams,12.0,70.115,70.053,69.9365,,69.9365,0.42549999999999955,60.0
2025,21,L HAMILTON,Ferrari,13.0,70.016,70.1,69.9365,,69.9365,0.42549999999999955,65.0
2025,21,L STROLL,Aston Martin,14.0,70.041,70.161,69.9365,,69.9365,0.42549999999999955,70.0
2025,21,C SAINZ,Williams,15.0,70.184,70.472,69.9365,,69.9365,0.42549999999999955,75.0
2025,21,M VERSTAPPEN,Red Bull Racing,16.0,70.403,69.95,69.9365,,69.9365,0.42549999999999955,80.0
2025,21,E OCON,Haas F1 Team,17.0,70.438,69.95,69.9365,,69.9365,0.42549999999999955,85.0
2025,21,F COLAPINTO,Alpine,18.0,70.632,69.95,69.9365,,69.9365,0.42549999999999955,90.0
2025,21,Y TSUNODA,Red Bull Racing,19.0,70.711,69.95,69.9365,,69.9365,0.42549999999999955,95.0
2025,21,G BORTOLETO,Kick Sauber,,70.108,69.95,69.9365,,69.9365,0.42549999999999955,
2025,22,L NORRIS,McLaren,1.0,115.473,111.379,107.934,,107.934,0.0,5.0
2025,22,M VERSTAPPEN,Red Bull Racing,2.0,113.458,111.593,108.257,,108.257,0.3230000000000075,10.0
2025,22,C SAINZ,Williams,3.0,114.873,111.144,108.296,,108.296,0.362000000000009,15.0
2025,22,G RUSSELL,Mercedes,4.0,113.144,110.935,108.803,,108.803,0.8689999999999998,20.0
2025,22,O PIASTRI,McLaren,5.0,114.544,112.126,108.961,,108.961,1.027000000000001,25.0
2025,22,L LAWSON,Racing Bulls,6.0,114.828,111.621,109.062,,109.062,1.1280000000000001,30.0
2025,22,F ALONSO,Aston Martin,7.0,113.739,111.865,109.466,,109.466,1.5319999999999965,35.0
2025,22,I HADJAR,Racing Bulls,8.0,115.613,111.12,109.554,,109.554,1.6200000000000045,40.0
2025,22,C LECLERC,Ferrari,9.0,114.814,111.952,109.872,,109.872,1.9380000000000024,45.0
2025,22,P GASLY,Alpine,10.0,114.432,111.76,111.54,,111.54,3.6060000000000088,50.0
2025,22,N HULKENBERG,Kick Sauber,11.0,114.555,112.781,109.0115,,109.0115,1.0775000000000006,55.00000000000001
2025,22,L STROLL,Aston Martin,12.0,114.416,112.85,109.0115,,109.0115,1.0775000000000006,60.0
2025,22,E OCON,Haas F1 Team,13.0,114.635,112.987,109.0115,,109.0115,1.0775000000000006,65.0
2025,22,O BEARMAN,Haas F1 Team,14.0,116.016,113.094,109.0115,,109.0115,1.0775000000000006,70.0
2025,22,F COLAPINTO,Alpine,15.0,114.847,113.683,109.0115,,109.0115,1.0775000000000006,75.0
2025,22,A ALBON,Williams,16.0,116.22,111.865,109.0115,,109.0115,1.0775000000000006,80.0
2025,22,K ANTONELLI,Mercedes,17.0,116.314,111.865,109.0115,,109.0115,1.0775000000000006,85.0
2025,22,G BORTOLETO,Kick Sauber,18.0,116.674,111.865,109.0115,,109.0115,1.0775000000000006,90.0
2025,22,Y TSUNODA,Red Bull Racing,19.0,116.798,111.865,109.0115,,109.0115,1.0775000000000006,95.0
2025,22,L HAMILTON,Ferrari,20.0,117.115,111.865,109.0115,,109.0115,1.0775000000000006,100.0
2025,23,O PIASTRI,McLaren,1.0,80.234,79.65,79.387,,79.387,0.0,5.0
2025,23,L NORRIS,McLaren,2.0,80.157,79.861,79.495,,79.495,0.10800000000000409,10.0
2025,23,M VERSTAPPEN,Red Bull Racing,3.0,80.472,79.985,79.651,,79.651,0.2639999999999958,15.0
2025,23,G RUSSELL,Mercedes,4.0,80.074,80.186,79.662,,79.662,0.2750000000000057,20.0
2025,23,K ANTONELLI,Mercedes,5.0,80.576,80.084,79.846,,79.846,0.4590000000000032,25.0
2025,23,I HADJAR,Racing Bulls,6.0,80.603,80.35,80.114,,80.114,0.7270000000000039,30.0
2025,23,C SAINZ,Williams,7.0,80.52,80.251,80.287,,80.251,0.8640000000000043,35.0
2025,23,F ALONSO,Aston Martin,8.0,80.598,80.219,80.418,,80.219,0.8319999999999936,40.0
2025,23,P GASLY,Alpine,9.0,80.681,80.324,80.477,,80.324,0.9369999999999976,45.0
2025,23,C LECLERC,Ferrari,10.0,80.564,80.343,80.561,,80.343,0.9560000000000031,50.0
2025,23,N HULKENBERG,Kick Sauber,11.0,80.63,80.353,79.98,,79.98,0.5930000000000035,55.00000000000001
2025,23,L LAWSON,Racing Bulls,12.0,80.539,80.433,79.98,,79.98,0.5930000000000035,60.0
2025,23,O BEARMAN,Haas F1 Team,13.0,80.548,80.438,79.98,,79.98,0.5930000000000035,65.0
2025,23,G BORTOLETO,Kick Sauber,14.0,80.653,80.534,79.98,,79.98,0.5930000000000035,70.0
2025,23,A ALBON,Williams,15.0,80.629,80.629,79.98,,79.98,0.5930000000000035,75.0
2025,23,Y TSUNODA,Red Bull Racing,16.0,80.761,80.324,79.98,,79.98,0.5930000000000035,80.0
2025,23,E OCON,Haas F1 Team,17.0,80.864,80.324,79.98,,79.98,0.5930000000000035,85.0
2025,23,L HAMILTON,Ferrari,18.0,80.907,80.324,79.98,,79.98,0.5930000000000035,90.0
2025,23,L STROLL,Aston Martin,19.0,81.058,80.324,79.98,,79.98,0.5930000000000035,95.0
2025,23,F COLAPINTO,Alpine,20.0,81.137,80.324,79.98,,79.98,0.5930000000000035,100.0
2025,24,M VERSTAPPEN,Red Bull Racing,1.0,82.877,82.752,82.207,,82.207,0.0,5.0
2025,24,L NORRIS,McLaren,2.0,83.178,82.804,82.408,,82.408,0.20100000000000762,10.0
2025,24,O PIASTRI,McLaren,3.0,82.605,83.021,82.437,,82.437,0.23000000000000398,15.0
2025,24,G RUSSELL,Mercedes,4.0,83.247,82.73,82.645,,82.645,0.4380000000000024,20.0
2025,24,C LECLERC,Ferrari,5.0,83.163,82.948,82.73,,82.73,0.5230000000000103,25.0
2025,24,F ALONSO,Aston Martin,6.0,83.071,82.861,82.902,,82.861,0.6540000000000106,30.0
2025,24,G BORTOLETO,Kick Sauber,7.0,83.374,82.874,82.904,,82.874,0.6670000000000016,35.0
2025,24,E OCON,Haas F1 Team,8.0,83.334,83.023,82.913,,82.913,0.7060000000000031,40.0
2025,24,I HADJAR,Racing Bulls,9.0,83.373,82.997,83.072,,82.997,0.7900000000000063,45.0
2025,24,Y TSUNODA,Red Bull Racing,10.0,83.386,83.034,82.73,,82.73,0.5230000000000103,50.0
2025,24,O BEARMAN,Haas F1 Team,11.0,83.254,83.041,82.73,,82.73,0.5230000000000103,55.00000000000001
2025,24,C SAINZ,Williams,12.0,83.187,83.042,82.73,,82.73,0.5230000000000103,60.0
2025,24,L LAWSON,Racing Bulls,13.0,83.265,83.077,82.73,,82.73,0.5230000000000103,65.0
2025,24,K ANTONELLI,Mercedes,14.0,82.894,83.08,82.73,,82.73,0.5230000000000103,70.0
2025,24,L STROLL,Aston Martin,15.0,83.316,83.097,82.73,,82.73,0.5230000000000103,75.0
2025,24,L HAMILTON,Ferrari,16.0,83.394,83.021,82.73,,82.73,0.5230000000000103,80.0
2025,24,A ALBON,Williams,17.0,83.416,83.021,82.73,,82.73,0.5230000000000103,85.0
2025,24,N HULKENBERG,Kick Sauber,18.0,83.45,83.021,82.73,,82.73,0.5230000000000103,90.0
2025,24,P GASLY,Alpine,19.0,83.468,83.021,82.73,,82.73,0.5230000000000103,95.0
2025,24,F COLAPINTO,Alpine,20.0,83.89,83.021,82.73,,82.73,0.5230000000000103,100.0
